Kind,Name,CountClassCoupled,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,CountClassBase,CountClassDerived,MaxInheritanceTree,CountDeclClass,CountDeclInstanceMethod,CountLineCode,CountLineComment
File,"AdministradorBO.java",,,4,4,,2,,,,1,1,29,9
File,"AdministradorMBTest.java",,,1,3,,1,,,,1,2,21,10
File,"BotaoHorario.java",,,1,15,,1,,,,1,9,62,10
File,"CalendarioHelper.java",,,1,40,,1,,,,1,0,258,114
File,"CalendarioMB.java",,,1,25,,2,,,,1,18,102,32
File,"Dia.java",,,1,8,,1,,,,1,7,33,13
File,"ExibirReservaMB.java",,,1,14,,1,,,,1,10,69,10
File,"GenericDAO.java",,,1,9,,1,,,,1,7,45,9
File,"HashMapHelper.java",,,3,3,,2,,,,1,0,18,16
File,"Hora.java",,,1,15,,1,,,,1,11,65,16
File,"LoginFilter.java",,,1,5,,1,,,,1,3,35,17
File,"LoginMB.java",,,2,33,,3,,,,1,16,141,42
File,"ParserCsvBO.java",,,3,12,,2,,,,1,4,100,11
File,"RelatorioMB.java",,,1,22,,1,,,,1,14,105,0
File,"RelatorioReservas.java",,,1,10,,0,,,,1,10,41,4
File,"ReservaBO.java",,,2,23,,2,,,,1,0,121,66
File,"ReservaBOTest.java",,,1,11,,1,,,,1,6,64,20
File,"ReservaDAO.java",,,1,13,,2,,,,1,9,85,54
File,"ReservaDAOTest.java",,,1,7,,1,,,,1,6,58,11
File,"ReservaPO.java",,,1,37,,1,,,,1,28,200,1
File,"ReservaRapidaMB.java",,,1,35,,2,,,,1,23,182,48
File,"ReservaRapidaMBTest.java",,,1,1,,0,,,,1,1,6,4
File,"ReservasHorario.java",,,1,4,,0,,,,1,4,17,9
File,"SalaBO.java",,,2,18,,2,,,,1,0,96,50
File,"SalaDAO.java",,,1,13,,2,,,,1,8,86,52
File,"SalaDAOTest.java",,,1,7,,1,,,,1,6,42,9
File,"SalaPO.java",,,1,16,,1,,,,1,13,81,10
File,"SessionContext.java",,,1,12,,1,,,,1,8,41,37
File,"StatusBO.java",,,0,0,,0,,,,1,0,3,9
File,"StatusBotao.java",,,2,7,,2,,,,1,3,50,11
File,"StatusDAO.java",,,1,2,,0,,,,1,2,11,9
File,"StatusDAOTest.java",,,1,3,,1,,,,1,2,13,9
File,"StatusPO.java",,,1,12,,1,,,,1,9,70,10
File,"UsuarioBO.java",,,1,15,,1,,,,1,0,65,32
File,"UsuarioBOTest.java",,,1,3,,0,,,,1,3,19,2
File,"UsuarioDAO.java",,,1,9,,2,,,,1,5,56,20
File,"UsuarioDAOTest.java",,,1,6,,1,,,,1,5,37,3
File,"UsuarioPO.java",,,1,26,,2,,,,1,19,147,25
File,"bd.sql",,,0,0,,0,,,,0,,73,12
File,"bootstrap-responsive.css",,,0,0,0,0,,,,0,,0,0
File,"bootstrap.css",,,0,0,0,0,,,,0,,0,0
Package,"br",,,0,0,,0,,,,0,0,0,0
Package,"br.edu",,,0,0,,0,,,,0,0,0,0
Package,"br.edu.utfpr",,,0,0,,0,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca",,,0,0,,0,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca.salas",,,0,0,,0,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca.salas.controller",,,1,150,,3,,,,9,95,702,200
Public Class,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest",2,50,1,3,,1,1,0,1,,2,15,5
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest.AdministradorMBTest",,,,1,1,0,,,,,,4,1
Public Method,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest.teste",,,,2,1,1,,,,,,7,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB",7,77,1,25,,2,1,0,1,,18,85,27
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.CalendarioMB",,,,1,1,0,,,,,,5,0
Private Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.cadastrarUsuario",,,,8,1,2,,,,,,26,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getDiaSelecionado",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMes",,,,1,1,0,,,,,,3,7
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMes",,,,1,1,0,,,,,,3,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMesAnterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMesPosterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomeAnterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomeAtual",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomePosterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getUsuario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getUsuarioLogado",,,,1,1,0,,,,,,3,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesAnterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesAtual",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesPosterior",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.setDiaSelecionado",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.setUsuario",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB",8,78,1,14,,1,1,0,1,,10,54,5
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.ExibirReservaMB",,,,1,1,0,,,,,,4,1
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.canCancelReserva",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.cancelarReserva",,,,3,1,1,,,,,,11,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getCalendario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getDiaMesReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getIdReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setIdReserva",,,,2,1,1,,,,,,7,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter",1,0,1,5,,1,2,0,1,,3,23,17
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.destroy",,,,1,1,0,,,,,,2,1
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.doFilter",,,,3,1,1,,,,,,14,11
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.init",,,,1,1,0,,,,,,2,1
Public Class,"br.edu.utfpr.biblioteca.salas.controller.LoginMB",4,65,2,33,,3,1,0,1,,16,126,42
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.LoginMB",,,,1,1,0,,,,,,3,0
Private Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.alreadyCadastrado",,,,1,1,0,,,,,,3,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.disabledBotaoCheckout",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.doLogin",,,,4,1,2,,,,,,23,12
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.doLogout",,,,2,1,1,,,,,,10,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBotaoCheckin",,,,3,3,1,,,,,,8,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBotaoCheckout",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBtnLogout",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirFormLogin",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.fazerCheckin",,,,5,1,3,,,,,,20,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.fazerCheckout",,,,5,1,3,,,,,,19,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getNomeUsuarioLogado",,,,1,1,0,,,,,,3,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuarioLogado",,,,1,1,0,,,,,,3,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.isLogado",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.setUsuario",,,,1,1,0,,,,,,3,0
