Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclClass,CountDeclInstanceMethod
File,"AdministradorBO.java",,4,4,,2,,,,,30,9,1,1
File,"AdministradorMBTest.java",,1,3,,1,,,,,22,10,1,2
File,"BotaoHorario.java",,1,15,,1,,,,,62,10,1,9
File,"CalendarioHelper.java",,1,31,,1,,,,,188,167,1,15
File,"CalendarioMB.java",,1,25,,2,,,,,104,32,1,18
File,"Dia.java",,1,8,,1,,,,,33,13,1,7
File,"ExibirReservaMB.java",,1,8,,1,,,,,52,17,1,7
File,"GenericDAO.java",,1,9,,1,,,,,45,9,1,7
File,"HashMapHelper.java",,2,4,,2,,,,,21,16,1,2
File,"Hora.java",,1,15,,1,,,,,65,16,1,11
File,"LoginFilter.java",,1,6,,1,,,,,37,17,1,4
File,"LoginMB.java",,2,33,,3,,,,,143,42,1,16
File,"ParserCsvBO.java",,2,14,,2,,,,,102,4,1,6
File,"RelatorioMB.java",,1,22,,1,,,,,105,0,1,14
File,"RelatorioReservas.java",,1,11,,0,,,,,46,4,1,11
File,"ReservaBO.java",,2,26,,2,,,,,134,66,1,10
File,"ReservaBOTest.java",,1,11,,1,,,,,68,20,1,6
File,"ReservaDAO.java",,1,24,,3,,,,,128,56,1,13
File,"ReservaDAOTest.java",,1,7,,1,,,,,60,11,1,6
File,"ReservaPO.java",,1,38,,1,,,,,207,1,1,29
File,"ReservaRapidaMB.java",,1,36,,2,,,,,186,42,1,22
File,"ReservaRapidaMBTest.java",,1,1,,0,,,,,6,4,1,1
File,"ReservasHorario.java",,1,4,,0,,,,,17,9,1,4
File,"SalaBO.java",,1,15,,2,,,,,90,51,1,2
File,"SalaDAO.java",,1,13,,2,,,,,87,52,1,8
File,"SalaDAOTest.java",,1,7,,1,,,,,42,9,1,6
File,"SalaPO.java",,1,16,,1,,,,,81,10,1,13
File,"SessionContext.java",,1,12,,1,,,,,42,37,1,8
File,"StatusBO.java",,0,0,,0,,,,,3,9,1,0
File,"StatusBotao.java",,2,7,,2,,,,,50,11,1,3
File,"StatusDAO.java",,1,2,,0,,,,,11,9,1,2
File,"StatusDAOTest.java",,1,3,,1,,,,,13,9,1,2
File,"StatusPO.java",,1,12,,1,,,,,70,10,1,9
File,"UsuarioBO.java",,1,17,,1,,,,,73,32,1,4
File,"UsuarioBOTest.java",,1,3,,0,,,,,20,2,1,3
File,"UsuarioDAO.java",,1,9,,2,,,,,57,20,1,5
File,"UsuarioDAOTest.java",,1,6,,1,,,,,37,3,1,5
File,"UsuarioPO.java",,1,26,,2,,,,,147,25,1,19
File,"bd.sql",,0,0,,0,,,,,73,12,0,
File,"bootstrap-responsive.css",,0,0,0,0,,,,,0,0,0,
File,"bootstrap.css",,0,0,0,0,,,,,0,0,0,
Package,"br",,0,0,,0,,,,,0,0,0,0
Package,"br.edu",,0,0,,0,,,,,0,0,0,0
Package,"br.edu.utfpr",,0,0,,0,,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca",,0,0,,0,,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca.salas",,0,0,,0,,,,,0,0,0,0
Package,"br.edu.utfpr.biblioteca.salas.controller",,1,146,,3,,,,,697,201,9,92
Public Class,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest",50,1,3,,1,1,0,1,2,16,5,,2
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest.AdministradorMBTest",,,1,1,0,,,,,4,1,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.AdministradorMBTest.teste",,,2,1,1,,,,,8,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB",77,1,25,,2,1,0,1,7,87,27,,18
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.CalendarioMB",,,1,1,0,,,,,5,0,,
Private Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.cadastrarUsuario",,,8,1,2,,,,,26,5,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getDiaSelecionado",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMes",,,1,1,0,,,,,4,7,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMes",,,1,1,0,,,,,3,6,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMesAnterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getMesPosterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomeAnterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomeAtual",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getNomePosterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getReserva",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getUsuario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.getUsuarioLogado",,,1,1,0,,,,,3,5,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesAnterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesAtual",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.renderMesPosterior",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.setDiaSelecionado",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.CalendarioMB.setUsuario",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB",78,1,8,,1,1,0,1,8,35,12,,7
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.ExibirReservaMB",,,1,1,0,,,,,4,1,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getCalendario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getHora",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getIdReserva",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getReserva",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setHora",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setIdReserva",,,2,1,1,,,,,8,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter",50,1,6,,1,1,0,2,1,25,17,,4
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.LoginFilter",,,1,1,0,,,,,3,0,,
